0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
 39.55, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 78, 67, 54, 64, 80, 
 39.70, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 78, 67, 54, 64, 80, 
 40.25, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 79, 67, 54, 64, 80, 
 40.65, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 79, 67, 77, 64, 80, 
 40.90, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 79, 67, 77, 64, 80, 
 41.10, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 66, 75, 78, 67, 77, 64, 80, 
 41.30, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 41.40, 75, 76, 96, 93, 76, 112, 138, 74, 70, 72, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 41.45, 75, 76, 96, 93, 76, 112, 71, 74, 70, 72, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 41.70, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 41.80, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.00, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.15, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.35, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.65, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.70, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.80, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 42.85, 75, 76, 96, 93, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 43.05, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 78, 67, 77, 64, 80, 
 43.15, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 77, 67, 77, 64, 80, 
 43.30, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 77, 67, 77, 64, 77, 
 43.40, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 43.50, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 43.60, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 43.70, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 44.15, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
